{'iss_position': {'latitude': '-20.1154', 'longitude': '135.3926'}, 'timestamp': 1657445068, 'message': 'success'}
{'iss_position': {'latitude': '-19.6047', 'longitude': '135.8253'}, 'timestamp': 1657445079, 'message': 'success'}
{'iss_position': {'latitude': '-19.0927', 'longitude': '136.2549'}, 'timestamp': 1657445089, 'message': 'success'}
{'iss_position': {'latitude': '-18.5795', 'longitude': '136.6816'}, 'timestamp': 1657445100, 'message': 'success'}
{'iss_position': {'latitude': '-18.0650', 'longitude': '137.1056'}, 'timestamp': 1657445110, 'message': 'success'}
{'iss_position': {'latitude': '-17.5248', 'longitude': '137.5468'}, 'timestamp': 1657445121, 'message': 'success'}
{'iss_position': {'latitude': '-17.0082', 'longitude': '137.9652'}, 'timestamp': 1657445132, 'message': 'success'}
{'iss_position': {'latitude': '-16.4904', 'longitude': '138.3811'}, 'timestamp': 1657445142, 'message': 'success'}
{'iss_position': {'latitude': '-15.9470', 'longitude': '138.8141'}, 'timestamp': 1657445153, 'message': 'success'}
{'iss_position': {'latitude': '-15.4272', 'longitude': '139.2251'}, 'timestamp': 1657445164, 'message': 'success'}
{'iss_position': {'latitude': '-14.9064', 'longitude': '139.6338'}, 'timestamp': 1657445174, 'message': 'success'}
{'iss_position': {'latitude': '-14.3600', 'longitude': '140.0596'}, 'timestamp': 1657445185, 'message': 'success'}
{'iss_position': {'latitude': '-13.8375', 'longitude': '140.4639'}, 'timestamp': 1657445196, 'message': 'success'}
{'iss_position': {'latitude': '-13.3142', 'longitude': '140.8662'}, 'timestamp': 1657445206, 'message': 'success'}
{'iss_position': {'latitude': '-12.7900', 'longitude': '141.2666'}, 'timestamp': 1657445217, 'message': 'success'}
{'iss_position': {'latitude': '-12.2401', 'longitude': '141.6841'}, 'timestamp': 1657445228, 'message': 'success'}
{'iss_position': {'latitude': '-11.7145', 'longitude': '142.0809'}, 'timestamp': 1657445238, 'message': 'success'}
{'iss_position': {'latitude': '-11.1881', 'longitude': '142.4759'}, 'timestamp': 1657445249, 'message': 'success'}
{'iss_position': {'latitude': '-10.6360', 'longitude': '142.8882'}, 'timestamp': 1657445260, 'message': 'success'}
{'iss_position': {'latitude': '-10.1083', 'longitude': '143.2801'}, 'timestamp': 1657445271, 'message': 'success'}
{'iss_position': {'latitude': '-9.5801', 'longitude': '143.6706'}, 'timestamp': 1657445281, 'message': 'success'}
{'iss_position': {'latitude': '-9.0513', 'longitude': '144.0598'}, 'timestamp': 1657445292, 'message': 'success'}
{'iss_position': {'latitude': '-8.5221', 'longitude': '144.4476'}, 'timestamp': 1657445302, 'message': 'success'}
{'iss_position': {'latitude': '-7.9670', 'longitude': '144.8527'}, 'timestamp': 1657445313, 'message': 'success'}
{'iss_position': {'latitude': '-7.4367', 'longitude': '145.2383'}, 'timestamp': 1657445324, 'message': 'success'}
{'iss_position': {'latitude': '-6.8806', 'longitude': '145.6412'}, 'timestamp': 1657445335, 'message': 'success'}
{'iss_position': {'latitude': '-6.3496', 'longitude': '146.0247'}, 'timestamp': 1657445345, 'message': 'success'}
{'iss_position': {'latitude': '-5.8181', 'longitude': '146.4073'}, 'timestamp': 1657445356, 'message': 'success'}
{'iss_position': {'latitude': '-5.2864', 'longitude': '146.7891'}, 'timestamp': 1657445366, 'message': 'success'}
{'iss_position': {'latitude': '-4.7543', 'longitude': '147.1702'}, 'timestamp': 1657445377, 'message': 'success'}
{'iss_position': {'latitude': '-4.1965', 'longitude': '147.5688'}, 'timestamp': 1657445388, 'message': 'success'}
{'iss_position': {'latitude': '-3.6639', 'longitude': '147.9487'}, 'timestamp': 1657445398, 'message': 'success'}
{'iss_position': {'latitude': '-3.1308', 'longitude': '148.3283'}, 'timestamp': 1657445409, 'message': 'success'}
{'iss_position': {'latitude': '-2.5725', 'longitude': '148.7252'}, 'timestamp': 1657445420, 'message': 'success'}
{'iss_position': {'latitude': '-2.0393', 'longitude': '149.1038'}, 'timestamp': 1657445430, 'message': 'success'}
{'iss_position': {'latitude': '-1.5060', 'longitude': '149.4821'}, 'timestamp': 1657445441, 'message': 'success'}
{'iss_position': {'latitude': '-0.9726', 'longitude': '149.8602'}, 'timestamp': 1657445451, 'message': 'success'}
{'iss_position': {'latitude': '-0.4392', 'longitude': '150.2382'}, 'timestamp': 1657445462, 'message': 'success'}
{'iss_position': {'latitude': '0.1198', 'longitude': '150.6342'}, 'timestamp': 1657445473, 'message': 'success'}
{'iss_position': {'latitude': '0.6533', 'longitude': '151.0122'}, 'timestamp': 1657445483, 'message': 'success'}
{'iss_position': {'latitude': '1.1869', 'longitude': '151.3903'}, 'timestamp': 1657445494, 'message': 'success'}
{'iss_position': {'latitude': '1.7202', 'longitude': '151.7685'}, 'timestamp': 1657445504, 'message': 'success'}
{'iss_position': {'latitude': '2.2535', 'longitude': '152.1470'}, 'timestamp': 1657445515, 'message': 'success'}
{'iss_position': {'latitude': '2.8121', 'longitude': '152.5438'}, 'timestamp': 1657445526, 'message': 'success'}
{'iss_position': {'latitude': '3.3452', 'longitude': '152.9230'}, 'timestamp': 1657445537, 'message': 'success'}
{'iss_position': {'latitude': '3.8781', 'longitude': '153.3027'}, 'timestamp': 1657445547, 'message': 'success'}
{'iss_position': {'latitude': '4.4109', 'longitude': '153.6830'}, 'timestamp': 1657445558, 'message': 'success'}
{'iss_position': {'latitude': '4.9433', 'longitude': '154.0638'}, 'timestamp': 1657445568, 'message': 'success'}
{'iss_position': {'latitude': '5.5007', 'longitude': '154.4635'}, 'timestamp': 1657445579, 'message': 'success'}
{'iss_position': {'latitude': '6.0326', 'longitude': '154.8458'}, 'timestamp': 1657445590, 'message': 'success'}
{'iss_position': {'latitude': '6.5641', 'longitude': '155.2289'}, 'timestamp': 1657445600, 'message': 'success'}
{'iss_position': {'latitude': '7.0953', 'longitude': '155.6130'}, 'timestamp': 1657445611, 'message': 'success'}
{'iss_position': {'latitude': '7.6260', 'longitude': '155.9981'}, 'timestamp': 1657445621, 'message': 'success'}
{'iss_position': {'latitude': '8.1816', 'longitude': '156.4026'}, 'timestamp': 1657445632, 'message': 'success'}
{'iss_position': {'latitude': '8.7115', 'longitude': '156.7900'}, 'timestamp': 1657445643, 'message': 'success'}
{'iss_position': {'latitude': '9.2410', 'longitude': '157.1786'}, 'timestamp': 1657445653, 'message': 'success'}
{'iss_position': {'latitude': '9.7699', 'longitude': '157.5685'}, 'timestamp': 1657445664, 'message': 'success'}
{'iss_position': {'latitude': '10.2982', 'longitude': '157.9598'}, 'timestamp': 1657445674, 'message': 'success'}
{'iss_position': {'latitude': '10.8511', 'longitude': '158.3713'}, 'timestamp': 1657445685, 'message': 'success'}
{'iss_position': {'latitude': '11.3783', 'longitude': '158.7656'}, 'timestamp': 1657445696, 'message': 'success'}
{'iss_position': {'latitude': '11.9300', 'longitude': '159.1807'}, 'timestamp': 1657445707, 'message': 'success'}
{'iss_position': {'latitude': '12.4557', 'longitude': '159.5784'}, 'timestamp': 1657445717, 'message': 'success'}
{'iss_position': {'latitude': '12.9808', 'longitude': '159.9781'}, 'timestamp': 1657445728, 'message': 'success'}
{'iss_position': {'latitude': '13.5052', 'longitude': '160.3796'}, 'timestamp': 1657445738, 'message': 'success'}
{'iss_position': {'latitude': '14.0536', 'longitude': '160.8023'}, 'timestamp': 1657445749, 'message': 'success'}
{'iss_position': {'latitude': '14.5766', 'longitude': '161.2082'}, 'timestamp': 1657445760, 'message': 'success'}
{'iss_position': {'latitude': '15.0985', 'longitude': '161.6160'}, 'timestamp': 1657445770, 'message': 'success'}
{'iss_position': {'latitude': '15.6194', 'longitude': '162.0260'}, 'timestamp': 1657445781, 'message': 'success'}
{'iss_position': {'latitude': '16.1394', 'longitude': '162.4383'}, 'timestamp': 1657445792, 'message': 'success'}
